"gene" "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Mx1"	1554.33625405701	0.777655975543903	0.229581615476878	3.38727460353733	0.000705906940161819	0.0117495701711819
"Fap"	254.135136950044	0.361417242925301	0.162346546155947	2.22620838867819	0.0260002263365404	0.124233265380458
"Gcg"	4684.60047215765	-0.264207993061417	0.172469896993668	-1.53190787300764	0.12554517042853	0.329009471061558
"Ndufa9"	9284.97634519212	-0.025812557164922	0.122736907855778	-0.210308028904012	0.833427269258694	0.926024543993815
"Egfl6"	112.97322119953	-0.00478279844625799	0.166235623487526	-0.028771200455821	0.977047070074495	0.990613036330816
"Lck"	353.775234234751	-0.637341341140807	0.136302794911686	-4.6759227611859	2.92634742713115e-06	0.000242606688530844
"Tssk3"	21.7137568669194	0.252301715675485	0.298115855621772	0.846321022239043	0.397373683502329	NA
"Cttnbp2"	1681.27346356155	-0.382947034021005	0.160671684200202	-2.38341333090055	0.0171529229686545	0.0961627792052552
"Galnt1"	11075.8374976848	-0.17462429194084	0.098925303645906	-1.76521360567051	0.0775278728207081	0.247272155369864
"Mkrn2"	2991.0363077365	-0.0311010124305303	0.0734933406615337	-0.423181367870634	0.67216293974101	0.837521570776584
"Pparg"	9153.04290236675	-0.194941464969142	0.101700035195878	-1.91682790073453	0.0552597991278355	0.200809258147327
"Raf1"	9180.38287177122	0.0796834866299621	0.0600524950515617	1.32689718489706	0.184542695727209	0.416190959521502
"Sept1"	146.820423172003	-0.174215446794498	0.185108493916149	-0.941153175139625	0.346626368646222	0.594441342599978
"Pdgfb"	477.050836270466	-0.159166543795484	0.199089007705215	-0.799474293584092	0.424015446626584	0.663049752350781
"Acvrl1"	1049.04178174368	-0.0574312568055284	0.187027805794953	-0.307073360356336	0.758787534112758	0.886531697388065
"Grasp"	431.989550355015	-0.0107836122769809	0.12378306044885	-0.0871170274662653	0.930578490881421	0.970987647237466
"Acvr1b"	10970.1682065176	0.213427528288931	0.0855099247656081	2.49593867465044	0.0125624317673	0.0784998554778894
"Tom1l2"	5741.17918993896	0.332251970007246	0.0812427847738697	4.08961818495061	4.320838646837e-05	0.00163723576899048
"Gpa33"	36584.8508638527	0.139340212371738	0.120127415561056	1.15993681975883	0.24607453042413	0.493922878888477
"Zfp385a"	44.5965393646581	-0.0122408514577286	0.377468195355849	-0.0324288287287061	0.974130072572591	0.989667698414289
"Itga5"	1381.70065244562	-0.0572695367470661	0.163672430311304	-0.349903381028435	0.726411209547514	0.869327710908613
"Gabra2"	375.26151792005	0.169266512032874	0.159705320666454	1.05986770714038	0.289204788764048	0.53808853391167
"Wdr77"	3675.81713354471	-0.262636266604512	0.0805721779221049	-3.25963965946684	0.00111553843480708	0.0158947498663001
"Adora3"	318.691814491539	0.250180496238255	0.126008767583687	1.98542134040079	0.0470976136260021	0.180738315110354
"Atp5f1"	18456.9696256053	-0.101981128709943	0.137370804907695	-0.742378475386154	0.457858057130779	0.691297900115372
