"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Chmp1a"	10829.151789033	-0.163079485507143	0.140372219355872	-1.16176467292081	0.245331067506125	0.441115531544447
"Rpa1"	5641.45210588527	-0.495869705454881	0.248500719955919	-1.99544574978633	0.0459942854161273	0.179522850966618
"Serpinf1"	42.207588337008	0.150580919257362	0.473347404033804	0.318119245979023	0.750394485201308	0.856580043511881
"Tubgcp3"	5379.24443095555	0.122555127560231	0.0694223267383467	1.76535609389962	0.077503937559352	0.23850149381185
"Oprm1"	31.5818202316991	0.330257559603591	0.44333678349916	0.744936066429996	0.45631037057051	0.639234433754663
"Polr3d"	1683.36829842834	-0.207810524900192	0.142507661830986	-1.45824106739366	0.14477410778908	0.330050066761755
"Tcf7"	366.516505867359	-0.006669939189637	0.217767209800639	-0.0306287580933015	0.975565607262609	0.986768266482413
"Ddx3x"	38364.5631961602	-0.488829292614718	0.174069996318493	-2.80823406074137	0.00498140067235004	0.0597179998658186
"Il12rb1"	29.3924293768747	0.360159151273697	0.327331520196419	1.10028863415774	0.271206382697251	NA
"Slc5a5"	44.0119418017502	0.0862316373030028	0.365704556511566	0.235795906196962	0.813591044983207	0.897895463658925
"Kcnn3"	80.8217266846201	0.160223700661483	0.479155340898734	0.334387800751541	0.738086943730028	0.847622083295788
"Usp32"	3486.86467702816	0.0570936377622432	0.140138949887288	0.407407346837997	0.683708831879394	0.810692050603336
"Car4"	11890.1477437281	-0.359273552290167	0.538069879401199	-0.667707980030384	0.504320015131716	0.677462953950573
"Txnrd3"	1023.00616224272	-0.26351202898416	0.208015104217799	-1.26679276476123	0.205229399855542	0.399152222815031
"Zfp512b"	3918.29555288152	0.108560997545493	0.175872572067707	0.617270767517401	0.537056144916681	0.703109375830173
"Dnajc5"	14543.772311219	-0.320057541976321	0.164773193620194	-1.94241268828024	0.0520871604859162	0.191682083024594
